[2023-05-01T01:07:10.649526-03:00] mvc-app.INFO: Petición a: POST /confirmardatos [] []
[2023-05-01T01:07:10.649911-03:00] mvc-app.INFO: Status Code:200 - /confirmardatos [] []
[2023-05-01T01:08:31.593938-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:08:31.597409-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:08:33.620680-03:00] mvc-app.INFO: Petición a: POST /solicitarturno [] []
[2023-05-01T01:08:33.622030-03:00] mvc-app.INFO: Status Code:200 - /solicitarturno [] []
[2023-05-01T01:08:35.387213-03:00] mvc-app.INFO: Petición a: POST /confirmardatos [] []
[2023-05-01T01:08:35.387974-03:00] mvc-app.INFO: Status Code:200 - /confirmardatos [] []
[2023-05-01T01:21:00.634556-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:21:00.640586-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:21:06.379711-03:00] mvc-app.INFO: Petición a: GET /consultarturno [] []
[2023-05-01T01:21:06.380081-03:00] mvc-app.INFO: Status Code:200 - /consultarturno [] []
[2023-05-01T01:21:07.222098-03:00] mvc-app.INFO: Petición a: GET /solicitarturno [] []
[2023-05-01T01:21:07.223269-03:00] mvc-app.INFO: Status Code:200 - /solicitarturno [] []
[2023-05-01T01:21:08.152909-03:00] mvc-app.INFO: Petición a: GET /staff [] []
[2023-05-01T01:21:08.154148-03:00] mvc-app.INFO: Status Code:200 - /staff [] []
[2023-05-01T01:21:08.908761-03:00] mvc-app.INFO: Petición a: GET /valores [] []
[2023-05-01T01:21:08.910509-03:00] mvc-app.INFO: Status Code:200 - /valores [] []
[2023-05-01T01:21:09.766356-03:00] mvc-app.INFO: Petición a: GET /noticias [] []
[2023-05-01T01:21:09.768590-03:00] mvc-app.INFO: Status Code:200 - /noticias [] []
[2023-05-01T01:21:10.546781-03:00] mvc-app.INFO: Petición a: GET /obra-social [] []
[2023-05-01T01:21:10.547816-03:00] mvc-app.INFO: Status Code:200 - /obra-social [] []
